,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
0,khatanga,RU,-7.44,99,100,6.62,71.9667,102.5,1677963827
1,albany,US,37.38,89,100,4.09,42.6001,-73.9662,1677963574
2,rawson,AR,80.65,18,56,5.66,-43.3002,-65.1023,1677963828
3,sobolevo,RU,21.07,88,32,13.33,54.4299,31.8996,1677963828
4,nikolskoye,RU,31.89,98,98,4.88,59.7035,30.7861,1677963829
5,metro,ID,71.62,96,74,5.17,-5.1131,105.3067,1677963829
6,arraial do cabo,BR,84.16,73,0,19.57,-22.9661,-42.0278,1677963830
7,rikitea,PF,79.68,75,100,17.76,-23.1203,-134.9692,1677963830
8,bredasdorp,ZA,67.64,88,95,3.58,-34.5322,20.0403,1677963831
9,ponta do sol,PT,68.0,90,51,2.91,32.6667,-17.1,1677963832
10,santiago del estero,AR,96.64,26,0,5.14,-27.7951,-64.2615,1677963832
11,lahaina,US,75.96,90,16,5.46,20.8783,-156.6825,1677963576
12,fortuna,US,45.93,93,40,9.22,40.5982,-124.1573,1677963833
13,chokurdakh,RU,-35.57,96,17,6.08,70.6333,147.9167,1677963834
14,punta arenas,CL,48.31,57,75,12.66,-53.15,-70.9167,1677963834
15,tasiilaq,GL,30.36,95,69,6.38,65.6145,-37.6368,1677963835
16,hilo,US,78.28,88,27,5.99,19.7297,-155.09,1677963644
17,saskylakh,RU,-23.67,100,95,3.22,71.9167,114.0833,1677963836
18,sitka,US,33.19,64,53,7.02,57.0531,-135.33,1677963837
19,torbay,CA,27.57,57,20,24.16,47.6666,-52.7314,1677963837
20,yellowknife,CA,-10.68,64,40,13.8,62.456,-114.3525,1677963773
21,ushuaia,AR,46.06,61,75,20.71,-54.8,-68.3,1677963838
22,nanortalik,GL,36.21,83,92,14.74,60.1432,-45.2371,1677963838
23,mahebourg,MU,81.25,89,75,0.0,-20.4081,57.7,1677963839
24,bonavista,CA,19.31,83,70,23.94,48.6499,-53.1147,1677963839
25,marsa matruh,EG,62.8,100,0,11.5,31.3525,27.2453,1677963840
26,wabag,PG,53.74,92,100,2.86,-5.4781,143.7021,1677963841
27,ancud,CL,57.45,68,78,10.04,-41.8697,-73.8203,1677963836
28,hobart,AU,61.27,96,75,5.75,-42.8794,147.3294,1677963843
29,dryden,CA,34.09,55,0,10.36,49.7833,-92.7503,1677963637
30,port hardy,CA,44.78,70,40,9.22,50.6996,-127.4199,1677963844
31,saint george,US,51.26,50,40,5.01,37.1041,-113.5841,1677963648
32,tiksi,RU,-1.08,100,100,1.72,71.6872,128.8694,1677963845
33,micheweni,TZ,80.1,77,76,14.76,-4.9667,39.8333,1677963846
34,yeppoon,AU,67.78,82,24,10.31,-23.1333,150.7333,1677963846
35,mataura,NZ,50.49,93,80,0.6,-46.1927,168.8643,1677963847
36,qaanaaq,GL,9.59,45,0,9.44,77.484,-69.3632,1677963848
37,jamestown,US,36.99,92,100,9.22,42.097,-79.2353,1677963719
38,tazovskiy,RU,-20.16,100,94,7.27,67.4667,78.7,1677963849
39,lubango,AO,62.55,48,8,3.27,-14.9172,13.4925,1677963850
40,barreirinha,BR,79.48,91,79,4.0,-2.7933,-57.07,1677963835
41,bubaque,GW,75.6,66,64,12.86,11.2833,-15.8333,1677963852
42,codrington,AU,55.35,89,9,6.55,-38.2667,141.9667,1677963853
43,samana,DO,82.62,78,20,6.91,19.2056,-69.3369,1677963853
44,dikson,RU,-5.73,95,100,9.13,73.5069,80.5464,1677963854
45,alofi,NU,84.09,84,75,5.75,-19.0595,-169.9187,1677963855
46,hithadhoo,MV,81.84,73,62,5.41,-0.6,73.0833,1677963856
47,charters towers,AU,71.94,85,98,9.42,-20.1,146.2667,1677963857
48,upernavik,GL,9.05,80,99,8.03,72.7868,-56.1549,1677963858
49,geraldton,AU,63.01,82,0,9.22,-28.7667,114.6,1677963859
